|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
8834|2013|StarCraft II: Heart of the Swarm|0|0|0|0|0|Disney Mobile and NimbleBit|Disney Mobile||Android, iOS, Windows Phone, Microsoft Windows, Windows RT|61|Simulation|Single player|Tiny Tower
8835|2013|StarDrive|0|0|0|0|0|Blizzard Entertainment|Blizzard Entertainment||Microsoft Windows, OS X[1]|18|Real-time strategy|Single-player, multiplayer|StarCraft
8836|2013|Starry Sky|0|0|0|0|0|Zero Sum Games|Iceberg Interactive||Microsoft Windows|24|4X, real-time strategy|Single-player|
8837|2013|State of Decay (video game)|0|0|0|0|0|Windows, Nintendo 3DSHoneybee (game company)PlayStation PortableHuneX|||||Role-playing video game, life simulation game, visual novel, otome game||
8838|2013|SteamWorld Dig|0|0|0|0|0|Undead Labs|Microsoft Studios[1]|CryEngine 3|"
Xbox 360
Microsoft Windows
Xbox One
"|24|"
Action-adventure
Survival horror
Stealth[5][6]
"|Single-player|State of Decay 
8839|2013|Steins;Gate: Linear Bounded Phenogram|0|0|0|0|0|Image & Form|Image & Form||Nintendo 3DS, Microsoft Windows, OS X, Linux, PlayStation 4, PlayStation Vita, Xbox One, Wii U, Nintendo Switch|9|Platformer, action-adventure, metroidvania[1]|Single-player|SteamWorld
8840|2013|Stickets|0|0|0|0|0|5pb.|JP: 5pb.WW: Spike Chunsoft||PlayStation 3, Xbox 360, PlayStation Vita, iOS, PlayStation 4, Microsoft Windows, Nintendo Switch|9|Visual novel|Single-player|Science Adventure
8841|2013|Strata (video game)|0|0|0|0|0||||iOS|30|Match-three||
8842|2013|Strength of the Sword 3|0|0|0|0|0|||Unity|iOS, Android, Linux, Mac OS X, Microsoft Windows, Windows Phone|51|Puzzle||
8843|2013|Stride & Prejudice|0|0|0|0|0|Ivent Games|Ivent Games|PhyreEngine|Wii U, PlayStation 3[1] Microsoft Windows, Linux, PlayStation 4, Xbox One|34|Action, hack and slash|Single player|
8844|2013|Strike Suit Zero|0|0|0|0|0|No Crusts Interactive|No Crusts Interactive||iOS, Fire OS|24|Endless running|Single-player|
8845|2013|Sturmwind|0|0|0|0|0|Born Ready|Born Ready||Microsoft Windows, Linux,[1] OS X,[1] PlayStation 4, Xbox One, Android, Nintendo Switch|1|Space combat simulator|Single-player|
8846|2013|Summon Night 5|0|0|0|0|0||RedSpotGames||Dreamcast|24|Shoot 'em up|Single-player, multiplayer|
8847|2013|Super Fighter|0|0|0|0|0|Felistella|JP: Bandai Namco GamesNA: Gaijinworks||PlayStation Portable|30|Tactical RPG|Single-player|Summon Night
8848|2013|Super House of Dead Ninjas|0|0|0|0|0|C&E, Super Fighter Team|C&E, Super Fighter Team||MS-DOS, Windows|1993, 2013|Fighting||
8849|2013|Super Mario 3D World|1|2|Best Nintendo Game|['Game of the Year', 'Best Nintendo Game']|0||Adult Swim Games||Windows, browser|9|Platform game|Single-player|
8850|2013|Super Motherload|0|0|0|0|0|Nintendo EAD Tokyo[a]|Nintendo||Wii U|69|Platformer|Single-player, multiplayer|Super Mario
8851|2013|Super Robot Wars UX|0|0|0|0|0|XGen Studios|XGen Studios|PhyreEngine|Internet game, PS4 (PlayStation 4), PS3 (PlayStation 3), PC|24|Puzzle game|Single player, co-op multiplayer|
8852|2013|Super Stickman Golf|0|0|0|0|0|Banpresto|Bandai Namco Games||Nintendo 3DS|18|Tactical role-playing|Single player|Super Robot Wars
8853|2013|Surgeon Simulator|0|0|0|0|0|Noodlecake Games|||iOS, Android|34|Golf video game ||
8854|2013|The Swapper|0|0|0|0|0|Bossa Studios|Bossa Studios|Unity|Microsoft Windows, OS X, Linux, iOS, PlayStation 4, Android, Nintendo Switch|18|Simulation|Single-player|
8855|2013|Sword Art Online|0|0|0|0|0|Facepalm GamesCurve Studios (PS3, PSV, PS4, Wii U, XONE)|Facepalm GamesJP: Nintendo (Wii U)||Microsoft WindowsMac OS XLinuxPlayStation 3PlayStation 4PlayStation VitaWii UXbox One|9|Puzzle-platformer, Metroidvania[2]|Single-player|
8856|2013|Sword Art Online: Infinity Moment|0|0|0|0|0||||||Adventure,[1] science fiction[2]||
8857|2013|Sword of the Stars: The Pit|0|0|0|0|0|Aquria|Bandai Namco Games||PlayStation Portable|18|Role-playing|Single-player|Sword Art Online
8858|2013|Table Top Racing|0|0|0|0|0||Self-published[1]||"
Microsoft Windows
OS X
Linux
"|9|Roguelike|Single-player|
8859|2013|Tactical Intervention|0|0|0|0|0|Playrise Digital|Playrise Digital||Microsoft Windows, iOS, Android, PlayStation 4, PlayStation Vita, Xbox One|1|Racing|Single-player, online multiplayer|
8860|2013|Tad, The Lost Explorer|0|0|0|0|0||OGPlanet|Modified Source|Microsoft Windows Mac OS X|61|First-person shooter|Multiplayer|
8861|2013|Takedown: Red Sabre|0|0|0|0|0||||||||
8862|2013|Tearaway (video game)|0|0|0|0|0|Serellan|505 Games|Unreal Engine 3|Microsoft Windows, Xbox 360|9|Tactical shooter|Single-player, co-op, multiplayer|
8863|2013|Tears to Tiara|0|0|0|0|0|Media Molecule|Sony Computer Entertainment Europe||PlayStation Vita|69|Platformer, adventure|Single-player|
8864|2013|Teddy Together|0|0|0|0|0|Aquaplus|||||Tactical role-playing gameVisual novel||
8865|2013|Teenage Mutant Ninja Turtles (2013 video game)|0|0|0|0|0|Arika|JP: Bandai Namco GamesEU: Nintendo||Nintendo 3DS|34|Life simulation|Single-player|
8866|2013|Teenage Mutant Ninja Turtles: Out of the Shadows (video game)|0|0|0|0|0|Magic Pockets|Activision||Nintendo 3DS[1], Wii, Xbox 360|61|Beat 'em up|Single-player|Teenage Mutant Ninja Turtles
