|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
5568|2009|Osmos|0|1|0|Best Independent Game|0|Hemisphere Games|Hemisphere GamesMicrosoft Game Studios[1] (GFWL)|||August|Puzzle|Single-player, multiplayer|
5584|2009|Tiger Woods PGA Tour 10|0|1|0|Best Individual Sports Game|0|EA TiburonHB Studios (PS2, PSP)|EA Sports|||June|Sports|Single-player, multiplayer|PGA Tour
5600|2009|Plants vs. Zombies|1|2|Best Mobile Game|['Best PC Game', 'Best Downloadable Game']|0|PopCap Games|PopCap GamesElectronic Arts|PopCap Games Framework||January|Tower defense, strategy|Single-player, multiplayer|Plants vs. Zombies
5634|2009|Ratchet & Clank Future: A Crack in Time|0|1|0|Best PS3 Game|0|Insomniac Games|Sony Computer Entertainment|||October|Platformer|Single-player|Ratchet & Clank
5684|2009|Scribblenauts|0|1|0|Best Handheld Game|0|5th Cell|Warner Bros. Interactive EntertainmentJP: Konami|||January|Emergent, puzzle, action|Single-player|
5690|2009|Shadow Complex|1|1|Best Downloadable Game|Best Downloadable Game|0|Chair EntertainmentEpic Games|Microsoft Game StudiosEpic Games (remaster)|Unreal Engine 3||March|Platform-adventure|Single-player|
5705|2009|The Sims 3|0|1|0|Best PC Game|0|Maxis Redwood Shores (PC/Mac)EA Mobile (mobile)Edge of Reality (consoles)[1]|Electronic Arts|||March|Life simulation|Single-player|The Sims
5722|2009|Soulcalibur: Broken Destiny|0|1|0|Best Fighting Game|0|Project Soul|Namco Bandai|||August|Fighting|Single-player, multiplayer|Soulcalibur
5723|2009|South Park Let's Go Tower Defense Play!|1|2|Best Game Based On A Movie/TV Show|['Best Game Based On A Movie/TV Show', 'Best Cast']|0|DoublesixXbox Live ProductionsSouth Park Digital Studios|Microsoft Studios|||October|Tower defense, action|Single-player, multiplayer|
5807|2009|Trials HD|0|1|0|Best Independent Game|0|RedLynx|Microsoft Game Studios[1]|Bullet Physics Library[2]||August|Racing game, Puzzle game|Single-player|Trials
5817|2009|UFC 2009 Undisputed|1|1|Best Individual Sports Game|Best Individual Sports Game|0|Yuke's|THQ|||May|Sports (Fighting)|Single-player, multiplayer, online multiplayer|
