|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
11394|2018|Pillars of Eternity II: Deadfire|0|1|0|Best Role Playing Game|0|CreativeForge Games|Good Shepherd Entertainment|Unreal Engine 4||June|Strategy|Single and multiplayer|
11400|2018|Pro Evolution Soccer 2019|0|1|0|Best Sports/Racing Game|0|Cygames|||Android, iOS, DMM||Role-playing||
11410|2018|Red Dead Redemption 2|4|8|['Best Audio Design', 'Best Narrative', 'Best Performance', 'Best Score/Music']|['Best Action/Adventure Game', 'Best Art Direction', 'Best Audio Design', 'Best Game Direction', 'Best Narrative', 'Best Performance', 'Best Score/Music', 'Game of the Year']|0|Rockstar Studios|Rockstar Games|RAGE||May|Action-adventure|Multiplayer|Red Dead
11412|2018|Reigns: Game of Thrones|0|1|0|Best Mobile Game|0|Deconstructeam|Devolver Digital|GameMaker Studio[2]||January|Adventure|Single-player|
11415|2018|Return of the Obra Dinn|1|2|Best Art Direction|['Best Art Direction', 'Best Independent Game']|0|Stormind Games|Darril Arts|Unreal Engine ||January|Adventure, survival horror|Single-player|
11424|2018|Sea of Thieves|0|1|0|Best Multiplayer Game|0|Marker Limited|Marker Limited|||February|Platform Game, Puzzle Game[1]|Single-player[3]|
11427|2018|Shadow of the Tomb Raider|0|1|0|Best Action/Adventure Game|0|Bluepoint Games|Sony Interactive Entertainment|||February|Action-adventure|Single-player|
11440|2018|Soulcalibur VI|0|1|0|Best Fighting Game|0||Atooi|||June|Sports|Single-player, multiplayer|
11448|2018|Starlink: Battle for Atlas|0|1|0|Best Family Game|0|Digit Game Studios|Scopely, CBS Interactive|Unity 2018.4.2f1||November|Role-playing video game, MMO|Single-player |
11462|2018|Super Mario Party|0|1|0|Best Family Game|0|Key|Visual Arts (Windows)Prototype (Switch)|||June|Visual novel|Single-player|
11475|2018|Tetris Effect|0|1|0|Best VR/AR Game|0||10tons|||January|Twin-stick shooter|Single-player, multiplayer|
11500|2018|Valkyria Chronicles 4|0|1|0|Best Strategy Game|0|Kylotonn|Bigben Interactive|||February|Racing|Single-player, multiplayer|V-Rally
11518|2018|Yoku's Island Express|0|1|0|Best Debut Indie Game|0|Monolith Soft|Nintendo|||September|Action role-playing|Single-player|Xeno (main)Xenoblade Chronicles (sub-series)
