|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
289|1C: Maddox Games|1C, Ubisoft|||March|Combat flight simulator|Single-player, multiplayer|IL-2 Sturmovik 
290|Relic Entertainment|Microsoft Game Studios|||January|Real-time strategy|Single-player, multiplayer|
291|Lexis Numérique|Ubisoft (UK/EU),  The Adventure Company (US)|||June|Adventure, Puzzle|Single Player|
292|The Collective|LucasArts|||February|Action-adventure|Single-player|
293|Codemasters |Codemasters|||May|Racing|Single-player, Multiplayer|
294|Flying Bear Entertainment|PopCap Games|PopCap Games Framework||May|Puzzle, virtual pets|Single-player|
295|Silmarlis|Light and Shadow Production|||2003 (Europe)|Action|Single-player|Inspector Gadget
296|Longshot|||Dreamcast, PlayStation, Microsoft Windows||Visual novel||
297|KCEO|Konami|||March|Sports|Single-player, Multiplayer|International Superstar Soccer
298|Dimps|Bandai|||April|Fighting|Single player , Multi-player|
299|Shin'en Multimedia|Majesco EntertainmentVivendi Universal Games (PAL)|||May|Scrolling shooter|Single-player|
300|Virtrium LLC|Virtrium LLC|Intrinsic AlchemyMantrid Engine[1]||December|Massively multiplayer online role-playing game|Multiplayer|
301|Zero|Visual Art's (Windows, Android)AiCherry (DVDPG)|RealLive||March|Eroge, Visual novel|Single player|
302|Climax Brighton|Eidos Interactive|||June|Racing|Single-player, multiplayer|
303|Galilea Games|The Adventure Company|||2003|Adventure game |Single-player|
304|Naughty Dog|Sony Computer Entertainment|Kinetica||February|Platform, third-person shooter, action-adventure|Single-player|Jak and Daxter
305|Griptonite Games (GBA)EA Redwood Shores (consoles)|EA Games|id Tech 3EAGL||February|Third-person shooter|Single-player, multiplayer|James Bond
306|Oopdreams software, Inc.|Microsoft|||April|Puzzle games|Single player|
307|Vicarious VisionsShin'en|NA: THQEU: Sega|Tony Hawk's Pro Skater 2 (Game Boy Advance)[1]||February|Action, platform|Single-player|Jet Set Radio
308|||||October|||
309|Human Soft (GBA) AWE Games (PC)|THQNick Games|||February|Action|Single-player|
310|HammerHead, Ltd.|SCEE|||January|3D platform|Single-player|
311|Rebellion Developments|EU: Sierra EntertainmentNA: BAM! Entertainment (PS2, GC, Xbox)NA: Evolved Games (PC)WW: Rebellion Developments (digital)|||February|First-person shooter|Single-player, multiplayer|
312|Ubi Soft Montreal, Ubi Soft Shanghai|Ubi SoftSCEE (EU, PS1)Disney Interactive (EU, PS2 Reissue)|||February|Music, rhythm|Single-player, multiplayer|
313|Blue Tongue Entertainment|Universal InteractiveKonami|TOSHI||March|Theme park simulation|Single-player|Jurassic Park
314|Full Fat|Midway Games|||November|Action||
315||DreamCatcher Interactive|||Microsoft WindowsUK: 2002-11-01PlayStation 2UK: 2004-02-13||Single-player|
316||Cosmi Corporation|||April|Racing|Single-player|
317||||||||
318||Jamdat Mobile|||2003|Computer chess|Single player, multiplayer|
319|SSD Co.|Square Enix|||September|Adventure[2]|Single-player|Dragon Quest
320|Cave|AMI (Arcade)Arika (DS)5pb. (PS3/360)M2 (PS4)|||January|Manic shooter|Up to 2 players simultaneously|
321|Namco USA[1]Visual Impact (GBA)|NamcoDestination Software (GBA)|RenderWare||February|Third-person shooter|Single player, multiplayer|
322|SNK Neogeo|SNK Playmore|||January|Fighting|Up to 2 players simultaneously|The King of Fighters
323|Asymmetric Publications|Asymmetric Publications|||February|Turn-based role-playing game|Single-player with some multiplayer interaction|
324|Tycoon|||PlayStation 2||Visual novel||
325|HAL Laboratory|Nintendo|||February|Racing|Single-player, multiplayer|Kirby
326||Cenega Publishing|Typhoon||November|Real-time strategy|Single-player|
327|Just Add Monsters|Microsoft Game Studios|||February|Fighting, party|Single-player, multiplayer|
328|Eden Games|Atari|||February|Action-adventure, Platformer|Single player|
329|Panyu Gaming Electronic Co.|Panyu Gaming Electronic Co.||||Shooter game|CompetitivePlayers: 1|
330|Legacy Interactive|NA: Legacy InteractiveEU: The Adventure Company|||September|Adventure|Single-player, multiplayer|
331|Crystal DynamicsNixxes Software BV (PC, Xbox)|Eidos Interactive|||February|Action-adventure|Single-player|Legacy of Kain
332||Softstar Entertainment Inc.|||January|Role-playing|Single-player|The Legend of Sword and Fairy series
333|Nintendo EAD|Nintendo|||March|Action-adventure|Single-player, multiplayer|The Legend of Zelda
334|Sony Computer Entertainment Inc|JP: Sony Computer EntertainmentNA: Konami Digital Entertainment|||January|Adventure game, survival horror|Single player|
335|||||2003|Strategy|Single-player, Multiplayer|
336||Infogrames, Atari|||March|Tactical shooter||
337|NCSOFT E&G Studios|NCSOFTTencent Holdings for ChinaInnova Co. S.a.r.l. for Russia, CIS, Georgia and EU|Unreal Engine 2.5||April|MMORPG|Multiplayer|Lineage
338|Indie Built|Microsoft Game Studios|||March|Sports|Single player, multiplayer|
339|Vicarious Visions|Disney Interactive|||October|Action, platformer|Single-player|
340|Reflexive Entertainment|Black Isle Studios|||August|Action role-playing|Single-player, multiplayer|
341|Scawen Roberts, Eric Bailey and Victor van Vlaardingen|Scawen Roberts, Eric Bailey and Victor van Vlaardingen|||June|Racing simulation|Single player, multiplayer|
342|Eagle Dynamics|EU: Ubi SoftRU: 1C Company[1][2]|||November|Flight simulator|Single-player |
343|Warthog Games|Electronic Arts|||January|Platform|Single-player|
344|EA Redwood Shores|EA Games|||April|Hack and slash, action role-playing|Single player, multiplayer|
345|Liquid Entertainment|Sierra Entertainment|||November|Real-time strategy|Single player, multiplayer|The Lord of the Rings
346|Rapid Eye Entertainment|Sony Online Entertainment (North America)Ubi Soft (Europe)|||December|Real-time strategy|Single-player, multiplayer|
347|FromSoftware|Activision|||May|Action role-playing|Single-player, multiplayer|
348|Warthog Games|Black Label GamesNA: MumboJumbo (PC)|||January|First-person shooter|Single-player|
349|EA Tiburon Budcat (PS & GBA)|EA Sports|||August|Sports|Single-player, Multiplayer|Madden NFL
350|Secret Level|Atari|Unreal Engine 2.0||November|Fighting|Single-player, multiplayer|
351||||||||
352|||||2003|||
353|Rockstar North|Rockstar Games|RenderWare||April|Stealth, survival horror|Single-player|Manhunt
354|HuneX|||PlayStation 2||Adventure, Visual novel||
355|Wizet|Nexon (South Korea, Japan, North America, Europe, Thailand)Shanda (China)AsiaSoft (Singapore, Malaysia, Vietnam)Gamania (Taiwan, Hong Kong)Level Up! Games (Brazil)|||April|Massively multiplayer online role-playing game|Multiplayer|
356||Namco|||April|Puzzle|Single-player|Mappy
357|GarageGames|Monster Studios|Torque Game Engine||March|Puzzle-platformer|Single player|
358||Gameloft|||April|Sports|Single player, Multiplayer|
359|AlphaDream|Nintendo|||November|Role-playing|Single-player|Mario & Luigi
360|Camelot Software Planning|Nintendo|||February|Sports|Single-player, multiplayer|Mario Golf
361|Nintendo EAD|Nintendo|||November|Racing|Single-player, multiplayer|Mario Kart
362|Hudson Soft|Nintendo|||November|Party|Single-player, multiplayer|Mario Party
363|Sims|Natsume|||August|Sports (fishing)|Single-player, multiplayer|
364||||||Strategy|Single player|
365|Wargaming|Matrix Games (Windows), Virtual Programming (Mac OS X)|||2003 (Windows), 2004 (Mac OS X)|Turn-based strategy|Single player, PBEM|Massive Assault
366|Quicksilver Software|Infogrames|||February|Turn-based strategy|Single-player, multiplayer|
367|Noise Factory|Playmore[a]|||March|Fighting|"
Single-player
Multiplayer
"|Power Instinct
368|Remedy Entertainment[a]|Rockstar Games|RenderWare[b]||October|Third-person shooter|Single-player|Max Payne
369|Capcom Production Studio 8|Capcom|||January|Action-adventure|Single player|
370|Natsume|NatsumeUbisoft (PAL)|||September|Role-playing video game|Single-player, multiplayer|
371|Netherock Ltd.|EA Games|||November|Third-person shooter, first-person shooter|Single-player, multiplayer|Medal of Honor
372|EA Los Angeles|EA Games|Jack Stringer ||November|First-person shooter|Single-player, multiplayer|Medal of Honor
373|Inti CreatesCapcom Production Studio 2|Capcom|||March|Card battle|Single-player, multiplayer|Mega Man Battle Network
374|Capcom Production Studio 2|Capcom|||March|Real-time tactical role-playing|Single-player, multiplayer|Mega Man Battle Network
375|Arika|CapcomShoPro Entertainment|||March|Action, platform, role-playing|Single-player|Mega Man Battle Network
376|Capcom Production Studio 3|Capcom|||March|Action, platform, Third-person shooter|Single-player|Mega Man X
377|Inti Creates|Capcom|||May|Action, platform, RPG, Hack 'n slash, Run 'n gun|Single-player, multiplayer|Mega Man Zero
378|Synetic|TDK Mediactive|||February|Racing||
379|Swingin' Ape StudiosMass Media Inc. (PlayStation 2)|Sierra Entertainment|||November|Third-person shooter, action-adventure|Single-player, multiplayer|
380|Noise FactorySNK PlaymoreIgnition Entertainment (PS2)|SNK PlaymoreIgnition Entertainment (PS2)HAMSTER Corporation(PS4/Switch/Xbox One)|||January|Run and gun|"
Single-player
Co-op
"|Metal Slug
381|Kutoka Interactive|Kutoka Interactive|Macromedia Director||2003|Educational|Adventure Mode, Activities Mode|Mia's Big Adventure Collection
382|||||2003|||Microsoft Flight Simulator
383|Rockstar San Diego|Rockstar Games|||April|Racing|Single-player, multiplayer|Midnight Club
384|Digital Illusions CE|Microsoft Game Studios|||June|Racing|Single-player, multiplayer|
385|Digital Eclipse|Midway Games|||February|Compilation|Single-player, multiplayer|
386|Psycho|Nexton|||May|Visual novel|Single player|
387|M4 Limited (GBA)Paradigm Entertainment (Consoles)|Atari, Inc.|||March|Action-adventure, stealth|Single-player|
388|||||June|Action role-playing game|Single-player|
389|||||April|Survival horror|Single-player|Resident Evil
390||||||||
391||Bandai|||September|Action, Mecha simulation|Single-player, multiplayer|
392|KeroQ|||Windows, Dreamcast, PlayStation 2||Eroge, Visual novel||
393||SCEI|||November|Music|Single-player, multiplayer|
394|FarSight Studios|Crave Entertainment|||March|Puzzle|Single-player, multiplayer|
395|Hudson Soft|Hudson Soft|||December|Traditional|Single-player, multiplayer|Momotetsu
396|Tecmo|Tecmo|||August|Life simulation game|Single-player, multiplayer|Monster Rancher
397|Alcachofa Soft|Crimson Cow|||November|||
398|Midway Games|Midway Games|RenderWare||February|Fighting|Single-player, multiplayer|Mortal Kombat
399|Namco|Namco|||February|Racing|Single player, Multiplayer|MotoGP 
400|Climax BrightonBlue Beck (mobile)|THQ|||May|Racing|Single-player, multiplayer|
401|Webzen|Webzen (MU Online Korea & Global MU Online), ZhaoUC (China version), Webzen Japan (Japan version)|||November|MMORPG|MMO|
402||||||||
403|Mass Media Inc.|TDK Mediactive|||April|Party game|Single-player, multiplayer|
404|Sega|Sega|||"JP: 2003
JP: 2005
JP: 2006
JP: 2015"|Hybrid collectible card and arcade video game|Up to 2 players simultaneously|
405|âge5pb. (Xbox 360, PS3)|||Windows, Xbox 360, PlayStation 3, PlayStation Vita||Visual novel||
406|Idol Minds|SCEA|||March|Party|Single-player, multiplayer|
407|Detalion|The Adventure Company[1]|Lithtech Jupiter(heavily modified)||March|Adventure|Single player|Schizm
408|Red Entertainment|Microsoft Game Studios|||April|Life simulation|Single-player|
409|Her Interactive|DreamCatcher|||October|Adventure|Single player|
410|Her Interactive|DreamCatcher|||August|Adventure|Single-player|
411|EightingTomy|Tomy|||March|Fighting|Single-player, multiplayer|Naruto: Clash of Ninja
412|Papyrus Design Group|Sierra Entertainment|||February|Sim racing|Singleplayer, Multiplayer|
413|Image Space Incorporated (PC) EA Tiburon (PlayStation 2 and Xbox) and Budcat Creations (PS) [1]|EA Sports|||September|Arcade racing|Single-player, multiplayer, multiplayer online|
414|Microcabin|Koei|||April|Vehicle simulation game|Single player|
415|Acclaim Studios Austin|Acclaim Entertainment|||September|Sports||NBA Jam
416||Electronic Arts|||October|Sports (Basketball)|Single-player, Multiplayer|NBA Live
417|EA Canada|EA Sports BIG|||April|Sports|Single-player, multiplayer|NBA Street 
418||Electronic Arts|||November|Sports basketball|Single-player, multiplayer|
419|EA Tiburon, Exient Entertainment (N-Gage)|EA Sports|||July|Sports|Single-player, multiplayer|
420|EA Black BoxPocketeers (GBA)|EA Games|||January|Racing|Single-player, multiplayer|Need for Speed
421|JoWooD Vienna[a]|EU: JoWooD ProductionsNA: Encore SoftwareWW: THQ Nordic (mobile)|||March|puzzle|Single-player|Neighbours from Hell 
422|Haemimont Games|"
Enlight Software
FX Interactive
"|||March|Real-time strategy, Role-playing|Single player|
423||Bandai|||April|Role-playing video game|Single-player|
424|BioWare|Atari, Inc. (PC)  MacSoft (Macintosh)|Aurora engine||August|Role-playing|Single-player, multiplayer|Neverwinter Nights
425|Floodgate EntertainmentBioWare|Atari, Inc. (PC, North America)  Infogrames Europe[a] (PC, Europe)  MacSoft (Macintosh)|Aurora engine||June|Role-playing video game|Single player, multiplayer|Neverwinter Nights
426|Microsoft Game Studios|Xbox Sports Network|||August|Sports|Single-player, multiplayer|NFL Fever
427|EA Black Box|EA Sports|||September|Sports|Single-player, multiplayer, online multiplayer|NHL series
428|Next Level Games|Midway Games|||September|Sports|Single-player, Multiplayer|NHL Hitz 
429|Sega Wow|Sega|||February|Action-adventure, hack and slash|Single-player|Shinobi
430|Hudson Soft|Konami|||April|Action, platform|Single player|
431|Nintendo Software TechnologyIntelligent Systems|Nintendo|||February|Compilation, puzzle|Single-player, multiplayer|Puzzle League 
432|Related Designs|CDV Software|||August|Real-time strategy|Single-player, Multiplayer|
433|Idol FX|iGames Publishing|||October|First-person shooter, Horror|Single player|
434|Ville Mönkkönen||||September|Survival|Single player|
435|Omni Creative|DreamCatcher Interactive|||March|Adventure|Singleplayer|
436||||||||
437|Diversions Entertainment|Diversions PublishingTrisynergy Inc.GMX MediaManaccom|||January|Fighting|Single-player, Multiplayer (max 16 simultaneously)|One Must Fall 
438|Capcom|Capcom|||March|Fighting|Multiplayer|Onimusha
439|Capcom|Capcom|||July|Tactical RPG|Single-player|Onimusha
440|Hudson SoftMGAME Corporation|Hudson Soft (Japan)Wizgate (South Korea)Fullerton (Taiwan)|||2003|Massive multiplayer online game, maze|Multiplayer|Bomberman
441|Hooksoft|||Windows, Dreamcast, PlayStation 2, DVD TV game, FOMA||Eroge, Visual novel||
442|FromSoftware|SegaJP: FromSoftware|||February|Hack and slash, Action|Single-player|
443|Tim Furnish|Hungry Software|||NA: 2003|2D adventure||
444|Hypnotix|Simon & Schuster InteractiveTDK Mediactive (Xbox EUR)Global Star Software (PS2)|||April|Sports|Multiplayersingle-player |
445|Sega AM2 (Arcade)Sumo Digital (Xbox)|Sega (Arcade)Microsoft Game Studios (Xbox)|||January|Racing game|Single-player, multiplayer|Out Run
446|Capcom Production Studio 4|Capcom|||March|Third-person shooter|Single-player|
447|Nintendo EADNamco|Namco|||April|Maze|Multiplayer|Pac-Man
448|Humongous Entertainment|Atari, Inc.|YAGA||May|Adventure|Single-player|Pajama Sam
449|Konami|Konami|||May|Fishing[2]|Single player|Antarctic Adventure
450|Arc System WorksSonic Powered|Aqua System|||May|||
451|EA Redwood ShoresHeadgate Studios (PC)Backbone Emeryville (GBA, NGE)|EA Sports|||June|Sports|Single-player, multiplayer|PGA Tour
452|Sonic Team|Sega|||March|role-playing|Single-player, multiplayer|Phantasy Star
453|JP: Trabulance|NA: G-Collections|||September|Visual Novel, Eroge|Single player|
454|Doki Denki StudioHulabee Entertainment (PC version)|Gotham Games (GCN, PS2) Disney Interactive (GBA NTSC, PC/Mac) THQ (GBA PAL)|||March|Action-adventure|Single-player|
455|Pingus community|||Unix-like, Microsoft Windows, Mac OS X||||
456|Akella|Bethesda SoftworksUbi Soft|||June|Action role-playing|Single-player|
457|Pocket Studios|TDK Mediactive|||May|Fighting game|Single-player|
458|Sony Online Entertainment|NA: Sony Online EntertainmentEU: Ubi Soft|||May|MMOFPS|Multiplayer|
459|Ambrella|NintendoThe Pokémon Company|||April|Adventuredigital petsimulation|Single-player|Pokémon
460|Genius Sonority|NintendoThe Pokémon Company|||March|Role-playing|Single-player, multiplayer|Pokémon
461|Jupiter|NintendoThe Pokémon Company|||January|Pinball|Single player|Pokémon
462||Topware Interactive||||Real-time strategy, role-playing||
463||P&P MarketingTeam Play Inc.|||2003|Light gun shooter||
464|Ascaron Entertainment|Tri-Synergy|||June|Business simulation game|Single-player, multiplayer|
465|Running with Scissors|Whiptail Interactive|Unreal Engine 2||April|First-person shooter|Single-player, multiplayer|Postal
466|Natsume (GBA)  Artech Studios (Windows)|THQ|||September|Action-adventure|Single-player|Power Rangers 
467|Pyro Studios|Eidos Interactive|||February|Real-time strategy|Single player, multiplayer|
468||WW: THQJP: Capcom|||February|Versus fighting, Sports|Single-player, multiplayer|
469|||||November|Versus fighting|Single-player, multiplayer|
470|SCE Studio Cambridge|Sony Computer Entertainment|||March|Action-adventure|Single-player|
471|Ubisoft Montreal|Ubisoft|Jade||January|Action-adventure, hack and slash, puzzle-platform|Single-player|Prince of Persia
